Timestamp,Total_Tokens,Prompt_Tokens,Completion_Tokens,Execution_Time_Sec,Items_Processed,Avg_Confidence
2026-04-14 16:55:17,193666,104285,89381,624.78,100,0.82
2026-04-14 17:40:13,67081,39381,27700,2.08,0,0
2026-04-14 19:26:59,48063,21937,26126,2.03,3,0.92
2026-04-14 21:23:18,65718,25232,40486,3.76,11,0
2026-04-14 22:21:58,50959,33536,17423,7.9,0,0
2026-04-14 22:41:21,66256,37890,28366,1.57,0,0
2026-04-14 22:49:25,39357,18082,21275,1.13,0,0
2026-04-14 23:29:20,182104,89707,92397,6.69,0,0
2026-04-15 22:45:51,40163,18492,21671,1.38,0,0
2026-04-15 22:59:30,231795,134086,97709,5.72,100,0.85
2026-05-05 10:48:58,68078,27798,40280,3.85,10,0.83
